video_id,title,views,likes,comments,publish_date,engagement_rate,viral_score,publish_day,publish_hour
BPXg68PC6Es,मैंने मंगाया 2 कमाल के Car Gadgets 🤩#shorts,64723025,1028283,691,2025-04-17 12:29:51+00:00,0.01589811353842006,411727.8,Thursday,12
AG6fVo6h524,सबसे Fast Discharge होने वाला Flagship Phone😲,3761658,194867,6110,2025-03-17 08:25:00+00:00,0.053427770414003616,81612.8,Monday,8
3WAQXHrPuqY,1500000 का mystery gadgets vs 3 friend कौन मारे गा बाजी 😱#shorts,15042855,405992,457,2025-03-06 09:32:24+00:00,0.02701940555831988,162671.00000000003,Thursday,9
DXBccuTNtTU,This is a Real Smart Phone🤯- Samsung S25 Ultra series Unpacked Event #shorts  #samsung,5787942,246382,5743,2025-01-23 12:30:11+00:00,0.043560388131049,101998.6,Thursday,12
xWljUUhGNHY,₹150 Vs ₹15000 Mouse!😱 #shorts,971489,91978,430,2024-11-19 12:45:17+00:00,0.09511996533156834,37049.200000000004,Tuesday,12
RwQfJJZG4_E,"₹ 4,00,000 का Gaming PC V/S ₹ 2,00,000 का  Mac Studio 🥵 #shorts",15317344,680874,2103,2024-11-16 15:05:00+00:00,0.04458847434646633,273611.4,Saturday,15
RcUvGN8lZXo,3 Amazing Flight Gadgets 😱#shorts,23177847,401346,502,2024-11-06 11:44:28+00:00,0.017337589638934107,160839.60000000003,Wednesday,11
BMzzJ2CHNUA,कमाल की है ये अनोखी अंगुठी boAt Smat Ring 🤯#shorts,1713589,87700,379,2024-10-24 15:01:13+00:00,0.05140030660794391,35307.4,Thursday,15
n5bwCtH1ris,4 Amazing Smart Bathroom Gadgets🤓#shorts,1875636,126581,432,2024-10-18 08:25:00+00:00,0.06771729695953799,50891.6,Friday,8
XAidJjuh5gk,Top 5 Amazing Cycle Gadgets🤯#shorts,28039273,717476,1150,2024-10-04 12:30:34+00:00,0.025629266493464364,287680.4,Friday,12
8453RdTR_hk,Subscriber को Gift किया Samsung M55s😱#shorts,14367566,722916,41884,2024-10-03 12:30:10+00:00,0.05323100656019259,314296.80000000005,Thursday,12
DmVCSeWbl8I,₹5 में 3 Phone Cleaner😍#shorts,6638727,265994,1147,2024-10-02 08:33:58+00:00,0.040239792960307,107085.8,Wednesday,8
bFAdmkqoWy0,ये है Sabse Value for Money Smartphone on BBD Sale 😍 #shorts  #techmaster,819376,56382,597,2024-09-22 14:05:00+00:00,0.06953950323172756,22911.000000000004,Sunday,14
Mo_6f1JlfAA,VI 5G V/S JIO 5G V/S AIRTEL 5G : कोन है सब से Fast 👑 #shorts,4889730,242624,847,2024-09-14 15:00:28+00:00,0.04979231982133983,97557.8,Saturday,15
Pu2UbPJHnzo,Tech Master ने किया अपनी Society में सबसे बड़ा Give Away 😱,6139756,267383,1822,2024-08-20 14:00:25+00:00,0.043846204963193976,108046.40000000001,Tuesday,14
VyavEahIfok,बारिश से बचने के लिए मगाएं ये 3 Super Gadgets 😲#shorts,26812348,854486,989,2024-07-26 13:30:17+00:00,0.03190600838091465,342387.80000000005,Friday,13
Rax79q15ecA,5 Star Hotel Tech 90% लोग नहीं जानते 🤯🤯 #shorts #gadgets,1097045,81041,129,2024-07-08 15:48:00+00:00,0.07398967225592387,32493.800000000003,Monday,15
d06nh3NLfoI,Apple Watch Ultra Exposed 🔥😯 असली सच #shorts,25185306,744313,1012,2024-06-29 13:15:02+00:00,0.029593644802250962,298332.4,Saturday,13
XM0S_Z_MHbI,₹100 Lighter vs ₹5000 Biggest Lighter!😜😁 #shorts,26014032,906972,779,2024-06-23 07:35:00+00:00,0.034894667616308,363256.20000000007,Sunday,7
IWCf3mgY5QU,Top 5 features of Moto Edge 50 Ultra! 😊#shorts  #smartphone,1617503,101969,904,2024-06-22 13:15:01+00:00,0.06359988204040425,41330.00000000001,Saturday,13
--SRGFePEXA,iphone 6s vs iphone 15 Pro Max Unboxing 😋 #shorts,6259776,412361,3415,2024-05-24 13:20:00+00:00,0.06642026807349016,166993.40000000002,Friday,13
JfcTt-rBLUE,This Car has Luxury Exciting Features 🔥 #car  #tech,41527532,1798987,8738,2024-04-27 14:13:00+00:00,0.04353075930445373,724837.6000000001,Saturday,14
nYlBGh6A7NU,₹13000 Apple Bottle vs ₹150 Desi Ghada #shorts,9733716,428175,488,2024-04-23 14:00:40+00:00,0.04403898778226116,171562.8,Tuesday,14
FXuQ3wDfqsg,Free WiFi Access Everywhere 🚨 #shorts,26786727,823659,8955,2024-03-26 14:00:10+00:00,0.031083080810880702,334836.60000000003,Tuesday,14
SrvtYHM_G00,22000 mAh battery वाला फ़ोन  🤯 The Unihertz Tank #shorts #youtubeshorts,33755431,1415945,41684,2024-03-18 14:00:20+00:00,0.04318205861450858,591388.4,Monday,14
HwYqgGs3DNk,Dropping an Honor X9B Down Crazy Test-Will It Survive?,14941102,593269,1089,2024-02-18 14:00:20+00:00,0.03978006441559665,237961.0,Sunday,14
N1OcfQtL35o,iPhone की ऐसी Copy हो जाओगे Confuse😨#shorts,5379174,371811,526,2024-02-09 09:05:00+00:00,0.06921824800610651,149040.0,Friday,9
1WqyFeWhUlI,Most Unique Old NOKIA : आपका दिमाग हिला देगा 🤯🤯 #shorts,9857797,413959,415,2023-12-06 08:25:00+00:00,0.0420351524787942,165832.6,Wednesday,8
8AfyQj28RG4,The Strongest Smartphone!,1774102,112024,333,2023-10-26 08:19:00+00:00,0.06333175882784643,45009.40000000001,Thursday,8
x2lgZSP77bU,Apple iphone Charging Tricks 100% Battery 🤯🤯 #shorts  #techmaster,5371123,391541,659,2023-08-26 08:44:00+00:00,0.0730201114366586,157011.8,Saturday,8
yI2Xu6zYkeY,ग़ज़ब के 3 Usefull Gadgets 😨…..#short #gadget,3259183,238416,378,2023-07-25 12:49:28+00:00,0.07326805521506463,95593.20000000001,Tuesday,12
USFNANef1i0,Cheap Gaming Gadget you must try! 😃#shorts,3166125,169565,1085,2023-07-24 08:08:00+00:00,0.05389869319752063,68477.0,Monday,8
0gixZw-7p7U,Firing on Apple Macbook vs windows 😎 PART 2 #shorts,6807285,394902,3533,2023-07-12 14:05:00+00:00,0.058530677061412885,160080.6,Wednesday,14
0nm5QxrBfb0,2 Most useful Spy Gadgets😎 #shorts  #youtubeshorts,9410290,662970,442,2023-06-22 09:20:00+00:00,0.07049857124488193,265453.2,Thursday,9
0VUjckIqkcg,The Most Useless water Flavour Gadget #shorts  #gadgets,1948302,179246,144,2023-06-06 07:55:00+00:00,0.09207504791351649,71784.8,Tuesday,7
fR7vSW9nslY,ये है सबसे खतरनाक Daily Use gadgets...😱#shorts,1865247,189679,207,2023-06-03 14:00:25+00:00,0.10180206696485773,75995.8,Saturday,14
AbrAKw4pm9E,Dost को बताई New Laptop लेने की Trick 🤣😂 #shorts  #techmaster,4123643,362715,576,2023-05-09 08:10:00+00:00,0.08809952752941998,145431.6,Tuesday,8
E0H6ojmnMHo,"5 illegal Gadgets, चलाने वाले जरूर जाने 🤯🤯 #shorts  #techmaster",7409222,556691,1679,2023-03-24 12:19:00+00:00,0.07536148869611412,223683.80000000002,Friday,12
1az8q3XOiqo,iphone Battery Health : 90% लोग नहीं जानते 😳😳 #shorts  #phone  #techmaster,4302008,376194,872,2023-03-12 13:00:01+00:00,0.08764883747310558,151000.80000000002,Sunday,13
h4ayMqKRddM,चलिए Apple के Airpods Pro को तोड़ते है 😱😱 #shorts  #techmaster,3894379,327555,1562,2023-03-02 07:37:00+00:00,0.08451077822677248,131959.2,Thursday,7
AKzp-VMoE6s,Dost की Birthday पार्टी ₹299 के Speaker से 🤣😂 #shorts  #techmaster,3055735,145370,497,2023-02-17 07:00:03+00:00,0.047735487534095726,58446.2,Friday,7
TA-WTaM43sU,Top 5 Features of Moto e13 *Sasta Smartphone* #shorts  #techmaster  #moto,877731,93493,405,2023-02-08 06:38:00+00:00,0.10697810604843626,37640.200000000004,Wednesday,6
tvDRL9JDcc4,Hidden iphone Tricks : 90% लोग नहीं जानते 😳😳 #shorts  #phone  #techmaster,4674704,449939,800,2022-12-17 09:00:32+00:00,0.09642086429429543,180455.6,Saturday,9
ryGQO8YVVsI,ये हैं सबसे सस्ते Cool gadgets...#shorts,35129204,1676564,1081,2022-12-02 07:15:02+00:00,0.047756419416733725,671274.2000000001,Friday,7
e3Lrz_CCTWk,Apple की खुल गई पोल..Exposed #shorts,16875919,1611261,2950,2022-11-26 12:30:23+00:00,0.09565173902529397,646274.4,Saturday,12
kmnDwIEq0cQ,Dosto के साथ watch Ultra का popat बना दिया 🤣😂 #shorts  #techmaster,18991083,1074745,1800,2022-11-22 13:35:00+00:00,0.05668686719972737,430978.0,Tuesday,13
O2CgVIkK_wc,Apple pencil vs Apsara pencil क्या होगा ? #shorts  #techmaster,64510668,2219897,2506,2022-11-21 14:45:01+00:00,0.03445016256846077,889462.4,Monday,14
ioy493lsY_Y,Apple AirTag will work? 90% लोग नहीं जानते 😳😳 #shorts  #tracking  #mastershorts,4717640,464796,207,2022-10-10 13:21:41+00:00,0.09856686817985263,186042.60000000003,Monday,13
zaLIUgaWSbs,"500 का Keyboard VS 5,500 का Keyboard.... #shorts #mechnicalkeyboard",19697195,1579755,1108,2022-09-28 12:08:20+00:00,0.08025828043028461,632566.8,Wednesday,12
T1xkDYh1l4I,Phone में लगाएं time password कोई नहीं खोल पाएगा lock....#shorts,7624514,593195,623,2022-09-01 12:30:08+00:00,0.07788273455855678,237651.8,Thursday,12
